date,city,market,product,price,unit,source
2026-09-15,Lagos,Mile 12,tomato round,66817,standard,nairametrics_cached
2026-09-15,Lagos,Oyingbo,tomato round,66609,standard,nairametrics_cached
2026-09-15,Lagos,Mushin,tomato round,64713,standard,nairametrics_cached
2026-09-15,Lagos,Daleko,tomato round,65897,standard,nairametrics_cached
2026-09-15,Abuja,Wuse,tomato round,74772,standard,nairametrics_cached
2026-09-15,Abuja,Garki,tomato round,71197,standard,nairametrics_cached
2026-09-15,Abuja,Utako,tomato round,70602,standard,nairametrics_cached
2026-09-15,Port Harcourt,Mile 3,tomato round,69678,standard,nairametrics_cached
2026-09-15,Port Harcourt,Creek Road,tomato round,65378,standard,nairametrics_cached
2026-09-15,Port Harcourt,Oil Mill,tomato round,70225,standard,nairametrics_cached
2026-09-15,Lagos,Mile 12,tomato oval,40566,standard,nairametrics_cached
2026-09-15,Lagos,Oyingbo,tomato oval,38803,standard,nairametrics_cached
2026-09-15,Lagos,Mushin,tomato oval,39559,standard,nairametrics_cached
2026-09-15,Lagos,Daleko,tomato oval,40071,standard,nairametrics_cached
2026-09-15,Abuja,Wuse,tomato oval,43529,standard,nairametrics_cached
2026-09-15,Abuja,Garki,tomato oval,43370,standard,nairametrics_cached
2026-09-15,Abuja,Utako,tomato oval,43739,standard,nairametrics_cached
2026-09-15,Port Harcourt,Mile 3,tomato oval,41934,standard,nairametrics_cached
2026-09-15,Port Harcourt,Creek Road,tomato oval,41889,standard,nairametrics_cached
2026-09-15,Port Harcourt,Oil Mill,tomato oval,43516,standard,nairametrics_cached
2026-09-15,Lagos,Mile 12,garri white,24868,standard,nairametrics_cached
2026-09-15,Lagos,Oyingbo,garri white,25394,standard,nairametrics_cached
2026-09-15,Lagos,Mushin,garri white,24434,standard,nairametrics_cached
2026-09-15,Lagos,Daleko,garri white,25093,standard,nairametrics_cached
2026-09-15,Abuja,Wuse,garri white,28460,standard,nairametrics_cached
2026-09-15,Abuja,Garki,garri white,27872,standard,nairametrics_cached
2026-09-15,Abuja,Utako,garri white,27177,standard,nairametrics_cached
2026-09-15,Port Harcourt,Mile 3,garri white,25262,standard,nairametrics_cached
2026-09-15,Port Harcourt,Creek Road,garri white,26533,standard,nairametrics_cached
2026-09-15,Port Harcourt,Oil Mill,garri white,25733,standard,nairametrics_cached
2026-09-15,Lagos,Mile 12,garri yellow,25336,standard,nairametrics_cached
2026-09-15,Lagos,Oyingbo,garri yellow,25290,standard,nairametrics_cached
2026-09-15,Lagos,Mushin,garri yellow,25638,standard,nairametrics_cached
2026-09-15,Lagos,Daleko,garri yellow,24657,standard,nairametrics_cached
2026-09-15,Abuja,Wuse,garri yellow,27964,standard,nairametrics_cached
2026-09-15,Abuja,Garki,garri yellow,27594,standard,nairametrics_cached
2026-09-15,Abuja,Utako,garri yellow,27381,standard,nairametrics_cached
