date,city,market,product,price,unit,source
2026-08-19,Lagos,Mile 12,tomato round,65189,standard,nairametrics_cached
2026-08-19,Lagos,Oyingbo,tomato round,63346,standard,nairametrics_cached
2026-08-19,Lagos,Mushin,tomato round,63046,standard,nairametrics_cached
2026-08-19,Lagos,Daleko,tomato round,63821,standard,nairametrics_cached
2026-08-19,Abuja,Wuse,tomato round,72218,standard,nairametrics_cached
2026-08-19,Abuja,Garki,tomato round,73102,standard,nairametrics_cached
2026-08-19,Abuja,Utako,tomato round,73921,standard,nairametrics_cached
2026-08-19,Port Harcourt,Mile 3,tomato round,70463,standard,nairametrics_cached
2026-08-19,Port Harcourt,Creek Road,tomato round,68762,standard,nairametrics_cached
2026-08-19,Port Harcourt,Oil Mill,tomato round,70492,standard,nairametrics_cached
2026-08-19,Lagos,Mile 12,tomato oval,40840,standard,nairametrics_cached
2026-08-19,Lagos,Oyingbo,tomato oval,39490,standard,nairametrics_cached
2026-08-19,Lagos,Mushin,tomato oval,40848,standard,nairametrics_cached
2026-08-19,Lagos,Daleko,tomato oval,40020,standard,nairametrics_cached
2026-08-19,Abuja,Wuse,tomato oval,44393,standard,nairametrics_cached
2026-08-19,Abuja,Garki,tomato oval,43670,standard,nairametrics_cached
2026-08-19,Abuja,Utako,tomato oval,46029,standard,nairametrics_cached
2026-08-19,Port Harcourt,Mile 3,tomato oval,43380,standard,nairametrics_cached
2026-08-19,Port Harcourt,Creek Road,tomato oval,41581,standard,nairametrics_cached
2026-08-19,Port Harcourt,Oil Mill,tomato oval,42506,standard,nairametrics_cached
2026-08-19,Lagos,Mile 12,garri white,25873,standard,nairametrics_cached
2026-08-19,Lagos,Oyingbo,garri white,24208,standard,nairametrics_cached
2026-08-19,Lagos,Mushin,garri white,25911,standard,nairametrics_cached
2026-08-19,Lagos,Daleko,garri white,25170,standard,nairametrics_cached
2026-08-19,Abuja,Wuse,garri white,28088,standard,nairametrics_cached
2026-08-19,Abuja,Garki,garri white,27667,standard,nairametrics_cached
2026-08-19,Abuja,Utako,garri white,27810,standard,nairametrics_cached
2026-08-19,Port Harcourt,Mile 3,garri white,26938,standard,nairametrics_cached
2026-08-19,Port Harcourt,Creek Road,garri white,26331,standard,nairametrics_cached
2026-08-19,Port Harcourt,Oil Mill,garri white,26436,standard,nairametrics_cached
2026-08-19,Lagos,Mile 12,garri yellow,24409,standard,nairametrics_cached
2026-08-19,Lagos,Oyingbo,garri yellow,25965,standard,nairametrics_cached
