date,city,market,product,price,unit,source
2026-08-30,Lagos,Mile 12,tomato round,63391,standard,nairametrics_cached
2026-08-30,Lagos,Oyingbo,tomato round,65877,standard,nairametrics_cached
2026-08-30,Lagos,Mushin,tomato round,66320,standard,nairametrics_cached
2026-08-30,Lagos,Daleko,tomato round,64785,standard,nairametrics_cached
2026-08-30,Abuja,Wuse,tomato round,71167,standard,nairametrics_cached
2026-08-30,Abuja,Garki,tomato round,70971,standard,nairametrics_cached
2026-08-30,Abuja,Utako,tomato round,70865,standard,nairametrics_cached
2026-08-30,Port Harcourt,Mile 3,tomato round,69013,standard,nairametrics_cached
2026-08-30,Port Harcourt,Creek Road,tomato round,65669,standard,nairametrics_cached
2026-08-30,Port Harcourt,Oil Mill,tomato round,69183,standard,nairametrics_cached
2026-08-30,Lagos,Mile 12,tomato oval,39310,standard,nairametrics_cached
2026-08-30,Lagos,Oyingbo,tomato oval,40588,standard,nairametrics_cached
2026-08-30,Lagos,Mushin,tomato oval,41243,standard,nairametrics_cached
2026-08-30,Lagos,Daleko,tomato oval,39975,standard,nairametrics_cached
2026-08-30,Abuja,Wuse,tomato oval,46452,standard,nairametrics_cached
2026-08-30,Abuja,Garki,tomato oval,44951,standard,nairametrics_cached
2026-08-30,Abuja,Utako,tomato oval,46365,standard,nairametrics_cached
2026-08-30,Port Harcourt,Mile 3,tomato oval,40321,standard,nairametrics_cached
2026-08-30,Port Harcourt,Creek Road,tomato oval,41173,standard,nairametrics_cached
2026-08-30,Port Harcourt,Oil Mill,tomato oval,42383,standard,nairametrics_cached
2026-08-30,Lagos,Mile 12,garri white,24787,standard,nairametrics_cached
2026-08-30,Lagos,Oyingbo,garri white,25049,standard,nairametrics_cached
2026-08-30,Lagos,Mushin,garri white,24328,standard,nairametrics_cached
2026-08-30,Lagos,Daleko,garri white,24710,standard,nairametrics_cached
2026-08-30,Abuja,Wuse,garri white,28138,standard,nairametrics_cached
2026-08-30,Abuja,Garki,garri white,27801,standard,nairametrics_cached
2026-08-30,Abuja,Utako,garri white,28225,standard,nairametrics_cached
2026-08-30,Port Harcourt,Mile 3,garri white,25604,standard,nairametrics_cached
2026-08-30,Port Harcourt,Creek Road,garri white,26516,standard,nairametrics_cached
2026-08-30,Port Harcourt,Oil Mill,garri white,26318,standard,nairametrics_cached
2026-08-30,Lagos,Mile 12,garri yellow,25737,standard,nairametrics_cached
2026-08-30,Lagos,Oyingbo,garri yellow,25753,standard,nairametrics_cached
2026-08-30,Lagos,Mushin,garri yellow,24694,standard,nairametrics_cached
2026-08-30,Lagos,Daleko,garri yellow,24824,standard,nairametrics_cached
2026-08-30,Abuja,Wuse,garri yellow,27539,standard,nairametrics_cached
2026-08-30,Abuja,Garki,garri yellow,28015,standard,nairametrics_cached
2026-08-30,Abuja,Utako,garri yellow,27874,standard,nairametrics_cached
2026-08-30,Port Harcourt,Mile 3,garri yellow,25956,standard,nairametrics_cached
2026-08-30,Port Harcourt,Creek Road,garri yellow,26044,standard,nairametrics_cached
2026-08-30,Port Harcourt,Oil Mill,garri yellow,24924,standard,nairametrics_cached
2026-08-30,Lagos,Mile 12,rice royal stallion,61898,standard,nairametrics_cached
