date,city,market,product,price,unit,source
2026-02-26,Lagos,Mile 12,tomato round,60659,standard,nairametrics
2026-02-26,Lagos,Oyingbo,tomato round,59569,standard,nairametrics
2026-02-26,Lagos,Mushin,tomato round,58411,standard,nairametrics
2026-02-26,Lagos,Daleko,tomato round,61912,standard,nairametrics
2026-02-26,Abuja,Wuse,tomato round,68557,standard,nairametrics
2026-02-26,Abuja,Garki,tomato round,66483,standard,nairametrics
2026-02-26,Abuja,Utako,tomato round,69143,standard,nairametrics
2026-02-26,Port Harcourt,Mile 3,tomato round,63537,standard,nairametrics
2026-02-26,Port Harcourt,Creek Road,tomato round,62018,standard,nairametrics
2026-02-26,Port Harcourt,Oil Mill,tomato round,65052,standard,nairametrics
2026-02-26,Lagos,Mile 12,tomato oval,36252,standard,nairametrics
2026-02-26,Lagos,Oyingbo,tomato oval,36357,standard,nairametrics
2026-02-26,Lagos,Mushin,tomato oval,37278,standard,nairametrics
2026-02-26,Lagos,Daleko,tomato oval,37442,standard,nairametrics
2026-02-26,Abuja,Wuse,tomato oval,43554,standard,nairametrics
2026-02-26,Abuja,Garki,tomato oval,43710,standard,nairametrics
2026-02-26,Abuja,Utako,tomato oval,42075,standard,nairametrics
2026-02-26,Port Harcourt,Mile 3,tomato oval,39566,standard,nairametrics
2026-02-26,Port Harcourt,Creek Road,tomato oval,38646,standard,nairametrics
2026-02-26,Port Harcourt,Oil Mill,tomato oval,38878,standard,nairametrics
2026-02-26,Lagos,Mile 12,garri white,22537,standard,nairametrics
2026-02-26,Lagos,Oyingbo,garri white,23459,standard,nairametrics
2026-02-26,Lagos,Mushin,garri white,22300,standard,nairametrics
2026-02-26,Lagos,Daleko,garri white,23153,standard,nairametrics
2026-02-26,Abuja,Wuse,garri white,26892,standard,nairametrics
2026-02-26,Abuja,Garki,garri white,26495,standard,nairametrics
2026-02-26,Abuja,Utako,garri white,26882,standard,nairametrics
2026-02-26,Port Harcourt,Mile 3,garri white,23983,standard,nairametrics
2026-02-26,Port Harcourt,Creek Road,garri white,24499,standard,nairametrics
2026-02-26,Port Harcourt,Oil Mill,garri white,24101,standard,nairametrics
2026-02-26,Lagos,Mile 12,garri yellow,22770,standard,nairametrics
2026-02-26,Lagos,Oyingbo,garri yellow,23248,standard,nairametrics
2026-02-26,Lagos,Mushin,garri yellow,22442,standard,nairametrics
2026-02-26,Lagos,Daleko,garri yellow,23844,standard,nairametrics
2026-02-26,Abuja,Wuse,garri yellow,27129,standard,nairametrics
2026-02-26,Abuja,Garki,garri yellow,27121,standard,nairametrics
2026-02-26,Abuja,Utako,garri yellow,25125,standard,nairametrics
2026-02-26,Port Harcourt,Mile 3,garri yellow,23759,standard,nairametrics
2026-02-26,Port Harcourt,Creek Road,garri yellow,24159,standard,nairametrics
2026-02-26,Port Harcourt,Oil Mill,garri yellow,24134,standard,nairametrics
2026-02-26,Lagos,Mile 12,rice royal stallion,54450,standard,nairametrics
2026-02-26,Lagos,Oyingbo,rice royal stallion,54254,standard,nairametrics
2026-02-26,Lagos,Mushin,rice royal stallion,54615,standard,nairametrics
2026-02-26,Lagos,Daleko,rice royal stallion,55978,standard,nairametrics
2026-02-26,Abuja,Wuse,rice royal stallion,62914,standard,nairametrics
2026-02-26,Abuja,Garki,rice royal stallion,59254,standard,nairametrics
2026-02-26,Abuja,Utako,rice royal stallion,60440,standard,nairametrics
2026-02-26,Port Harcourt,Mile 3,rice royal stallion,59920,standard,nairametrics
2026-02-26,Port Harcourt,Creek Road,rice royal stallion,56417,standard,nairametrics
2026-02-26,Port Harcourt,Oil Mill,rice royal stallion,56485,standard,nairametrics
2026-02-26,Lagos,Mile 12,rice mamas pride,60212,standard,nairametrics
2026-02-26,Lagos,Oyingbo,rice mamas pride,61283,standard,nairametrics
2026-02-26,Lagos,Mushin,rice mamas pride,59161,standard,nairametrics
2026-02-26,Lagos,Daleko,rice mamas pride,61024,standard,nairametrics
2026-02-26,Abuja,Wuse,rice mamas pride,67847,standard,nairametrics
2026-02-26,Abuja,Garki,rice mamas pride,64504,standard,nairametrics
2026-02-26,Abuja,Utako,rice mamas pride,67657,standard,nairametrics
2026-02-26,Port Harcourt,Mile 3,rice mamas pride,63639,standard,nairametrics
