date,city,market,product,price,unit,source
2026-06-26,Lagos,Mile 12,tomato round,65546,standard,nairametrics_cached
2026-06-26,Lagos,Oyingbo,tomato round,63412,standard,nairametrics_cached
2026-06-26,Lagos,Mushin,tomato round,64145,standard,nairametrics_cached
2026-06-26,Lagos,Daleko,tomato round,65326,standard,nairametrics_cached
2026-06-26,Abuja,Wuse,tomato round,69995,standard,nairametrics_cached
2026-06-26,Abuja,Garki,tomato round,69363,standard,nairametrics_cached
2026-06-26,Abuja,Utako,tomato round,74735,standard,nairametrics_cached
2026-06-26,Port Harcourt,Mile 3,tomato round,67823,standard,nairametrics_cached
2026-06-26,Port Harcourt,Creek Road,tomato round,70615,standard,nairametrics_cached
2026-06-26,Port Harcourt,Oil Mill,tomato round,66672,standard,nairametrics_cached
2026-06-26,Lagos,Mile 12,tomato oval,40574,standard,nairametrics_cached
2026-06-26,Lagos,Oyingbo,tomato oval,40070,standard,nairametrics_cached
2026-06-26,Lagos,Mushin,tomato oval,38917,standard,nairametrics_cached
2026-06-26,Lagos,Daleko,tomato oval,40032,standard,nairametrics_cached
2026-06-26,Abuja,Wuse,tomato oval,44305,standard,nairametrics_cached
2026-06-26,Abuja,Garki,tomato oval,46454,standard,nairametrics_cached
2026-06-26,Abuja,Utako,tomato oval,46500,standard,nairametrics_cached
2026-06-26,Port Harcourt,Mile 3,tomato oval,40931,standard,nairametrics_cached
2026-06-26,Port Harcourt,Creek Road,tomato oval,40338,standard,nairametrics_cached
2026-06-26,Port Harcourt,Oil Mill,tomato oval,42472,standard,nairametrics_cached
2026-06-26,Lagos,Mile 12,garri white,24836,standard,nairametrics_cached
2026-06-26,Lagos,Oyingbo,garri white,25916,standard,nairametrics_cached
2026-06-26,Lagos,Mushin,garri white,25882,standard,nairametrics_cached
2026-06-26,Lagos,Daleko,garri white,25950,standard,nairametrics_cached
2026-06-26,Abuja,Wuse,garri white,27359,standard,nairametrics_cached
2026-06-26,Abuja,Garki,garri white,27110,standard,nairametrics_cached
2026-06-26,Abuja,Utako,garri white,27179,standard,nairametrics_cached
2026-06-26,Port Harcourt,Mile 3,garri white,25277,standard,nairametrics_cached
2026-06-26,Port Harcourt,Creek Road,garri white,26369,standard,nairametrics_cached
2026-06-26,Port Harcourt,Oil Mill,garri white,26884,standard,nairametrics_cached
2026-06-26,Lagos,Mile 12,garri yellow,24115,standard,nairametrics_cached
2026-06-26,Lagos,Oyingbo,garri yellow,24316,standard,nairametrics_cached
2026-06-26,Lagos,Mushin,garri yellow,25102,standard,nairametrics_cached
2026-06-26,Lagos,Daleko,garri yellow,24872,standard,nairametrics_cached
2026-06-26,Abuja,Wuse,garri yellow,27622,standard,nairametrics_cached
2026-06-26,Abuja,Garki,garri yellow,28448,standard,nairametrics_cached
2026-06-26,Abuja,Utako,garri yellow,27630,standard,nairametrics_cached
2026-06-26,Port Harcourt,Mile 3,garri yellow,26042,standard,nairametrics_cached
2026-06-26,Port Harcourt,Creek Road,garri yellow,25436,standard,nairametrics_cached
2026-06-26,Port Harcourt,Oil Mill,garri yellow,25998,standard,nairametrics_cached
2026-06-26,Lagos,Mile 12,rice royal stallion,61087,standard,nairametrics_cached
2026-06-26,Lagos,Oyingbo,rice royal stallion,59699,standard,nairametrics_cached
2026-06-26,Lagos,Mushin,rice royal stallion,58683,standard,nairametrics_cached
2026-06-26,Lagos,Daleko,rice royal stallion,58158,standard,nairametrics_cached
2026-06-26,Abuja,Wuse,rice royal stallion,62528,standard,nairametrics_cached
2026-06-26,Abuja,Garki,rice royal stallion,61771,standard,nairametrics_cached
2026-06-26,Abuja,Utako,rice royal stallion,61573,standard,nairametrics_cached
2026-06-26,Port Harcourt,Mile 3,rice royal stallion,59649,standard,nairametrics_cached
2026-06-26,Port Harcourt,Creek Road,rice royal stallion,64447,standard,nairametrics_cached
2026-06-26,Port Harcourt,Oil Mill,rice royal stallion,60077,standard,nairametrics_cached
2026-06-26,Lagos,Mile 12,rice mamas pride,67419,standard,nairametrics_cached
2026-06-26,Lagos,Oyingbo,rice mamas pride,63191,standard,nairametrics_cached
2026-06-26,Lagos,Mushin,rice mamas pride,66418,standard,nairametrics_cached
2026-06-26,Lagos,Daleko,rice mamas pride,67080,standard,nairametrics_cached
2026-06-26,Abuja,Wuse,rice mamas pride,68128,standard,nairametrics_cached
2026-06-26,Abuja,Garki,rice mamas pride,71152,standard,nairametrics_cached
2026-06-26,Abuja,Utako,rice mamas pride,68325,standard,nairametrics_cached
2026-06-26,Port Harcourt,Mile 3,rice mamas pride,65263,standard,nairametrics_cached
2026-06-26,Port Harcourt,Creek Road,rice mamas pride,68893,standard,nairametrics_cached
2026-06-26,Port Harcourt,Oil Mill,rice mamas pride,65212,standard,nairametrics_cached
2026-06-26,Lagos,Mile 12,beans brown,123170,standard,nairametrics_cached
2026-06-26,Lagos,Oyingbo,beans brown,118207,standard,nairametrics_cached
2026-06-26,Lagos,Mushin,beans brown,119538,standard,nairametrics_cached
2026-06-26,Lagos,Daleko,beans brown,121728,standard,nairametrics_cached
2026-06-26,Abuja,Wuse,beans brown,131665,standard,nairametrics_cached
2026-06-26,Abuja,Garki,beans brown,139068,standard,nairametrics_cached
2026-06-26,Abuja,Utako,beans brown,138878,standard,nairametrics_cached
2026-06-26,Port Harcourt,Mile 3,beans brown,132109,standard,nairametrics_cached
2026-06-26,Port Harcourt,Creek Road,beans brown,126239,standard,nairametrics_cached
2026-06-26,Port Harcourt,Oil Mill,beans brown,127546,standard,nairametrics_cached
2026-06-26,Lagos,Mile 12,beans oloyin,62997,standard,nairametrics_cached
2026-06-26,Lagos,Oyingbo,beans oloyin,63214,standard,nairametrics_cached
2026-06-26,Lagos,Mushin,beans oloyin,65898,standard,nairametrics_cached
2026-06-26,Lagos,Daleko,beans oloyin,64970,standard,nairametrics_cached
2026-06-26,Abuja,Wuse,beans oloyin,68564,standard,nairametrics_cached
2026-06-26,Abuja,Garki,beans oloyin,68756,standard,nairametrics_cached
2026-06-26,Abuja,Utako,beans oloyin,69364,standard,nairametrics_cached
2026-06-26,Port Harcourt,Mile 3,beans oloyin,69100,standard,nairametrics_cached
2026-06-26,Port Harcourt,Creek Road,beans oloyin,70251,standard,nairametrics_cached
2026-06-26,Port Harcourt,Oil Mill,beans oloyin,70416,standard,nairametrics_cached
2026-06-26,Lagos,Mile 12,melon,325898,standard,nairametrics_cached
2026-06-26,Lagos,Oyingbo,melon,331214,standard,nairametrics_cached
2026-06-26,Lagos,Mushin,melon,323480,standard,nairametrics_cached
2026-06-26,Lagos,Daleko,melon,322050,standard,nairametrics_cached
2026-06-26,Abuja,Wuse,melon,342772,standard,nairametrics_cached
2026-06-26,Abuja,Garki,melon,338250,standard,nairametrics_cached
2026-06-26,Abuja,Utako,melon,362064,standard,nairametrics_cached
2026-06-26,Port Harcourt,Mile 3,melon,345728,standard,nairametrics_cached
2026-06-26,Port Harcourt,Creek Road,melon,334023,standard,nairametrics_cached
2026-06-26,Port Harcourt,Oil Mill,melon,333950,standard,nairametrics_cached
2026-06-26,Lagos,Mile 12,pepper,106840,standard,nairametrics_cached
2026-06-26,Lagos,Oyingbo,pepper,102020,standard,nairametrics_cached
2026-06-26,Lagos,Mushin,pepper,108854,standard,nairametrics_cached
2026-06-26,Lagos,Daleko,pepper,108562,standard,nairametrics_cached
2026-06-26,Abuja,Wuse,pepper,115271,standard,nairametrics_cached
2026-06-26,Abuja,Garki,pepper,116705,standard,nairametrics_cached
2026-06-26,Abuja,Utako,pepper,115611,standard,nairametrics_cached
2026-06-26,Port Harcourt,Mile 3,pepper,113587,standard,nairametrics_cached
2026-06-26,Port Harcourt,Creek Road,pepper,114377,standard,nairametrics_cached
2026-06-26,Port Harcourt,Oil Mill,pepper,110978,standard,nairametrics_cached
2026-06-26,Lagos,Mile 12,yam,4621,standard,nairametrics_cached
2026-06-26,Lagos,Oyingbo,yam,4511,standard,nairametrics_cached
2026-06-26,Lagos,Mushin,yam,4388,standard,nairametrics_cached
2026-06-26,Lagos,Daleko,yam,4336,standard,nairametrics_cached
2026-06-26,Abuja,Wuse,yam,4997,standard,nairametrics_cached
2026-06-26,Abuja,Garki,yam,5385,standard,nairametrics_cached
2026-06-26,Abuja,Utako,yam,5386,standard,nairametrics_cached
2026-06-26,Port Harcourt,Mile 3,yam,4835,standard,nairametrics_cached
2026-06-26,Port Harcourt,Creek Road,yam,4799,standard,nairametrics_cached
2026-06-26,Port Harcourt,Oil Mill,yam,4700,standard,nairametrics_cached
2026-06-26,Lagos,Mile 12,fish titus,6810,standard,nairametrics_cached
2026-06-26,Lagos,Oyingbo,fish titus,7260,standard,nairametrics_cached
2026-06-26,Lagos,Mushin,fish titus,7257,standard,nairametrics_cached
2026-06-26,Lagos,Daleko,fish titus,6789,standard,nairametrics_cached
2026-06-26,Abuja,Wuse,fish titus,7546,standard,nairametrics_cached
2026-06-26,Abuja,Garki,fish titus,8064,standard,nairametrics_cached
2026-06-26,Abuja,Utako,fish titus,7495,standard,nairametrics_cached
2026-06-26,Port Harcourt,Mile 3,fish titus,7735,standard,nairametrics_cached
2026-06-26,Port Harcourt,Creek Road,fish titus,7525,standard,nairametrics_cached
2026-06-26,Port Harcourt,Oil Mill,fish titus,7576,standard,nairametrics_cached
